Record ID,Sample ID,Age reported (Ma),Granite type,Geological Group ID,Geological Group Name,Reference ID,Citation key,Geological group,Geological Group Name_S2,Province / Region,Parent Geological Unit or Included Subunit(s),Group Type,Grouping Rationale,Confidence Level,Number of Samples,Reference ID(s),Reference-connected block,Reference ID normalized
R0391,8051,210 Ma,S,GG0038,Zhuguangshan,REF0039,REF0039,GG0038,Zhuguangshan,Guangdong,,Composite or parent geological unit,Related subunits are consolidated under the named Zhuguangshan parent unit so genetically and spatially related samples remain in one validation group.,Medium,222,REF0012; REF0016; REF0019; REF0020; REF0029; REF0034; REF0039; REF0041; REF0046; REF0049; REF0052,RCB0030,REF0012; REF0016; REF0019; REF0020; REF0029; REF0034; REF0039; REF0041; REF0046; REF0049; REF0052
R0392,8052,210 Ma,S,GG0038,Zhuguangshan,REF0039,REF0039,GG0038,Zhuguangshan,Guangdong,,Composite or parent geological unit,Related subunits are consolidated under the named Zhuguangshan parent unit so genetically and spatially related samples remain in one validation group.,Medium,222,REF0012; REF0016; REF0019; REF0020; REF0029; REF0034; REF0039; REF0041; REF0046; REF0049; REF0052,RCB0030,REF0012; REF0016; REF0019; REF0020; REF0029; REF0034; REF0039; REF0041; REF0046; REF0049; REF0052
R0393,672,210 Ma,S,GG0038,Zhuguangshan,REF0039,REF0039,GG0038,Zhuguangshan,Guangdong,,Composite or parent geological unit,Related subunits are consolidated under the named Zhuguangshan parent unit so genetically and spatially related samples remain in one validation group.,Medium,222,REF0012; REF0016; REF0019; REF0020; REF0029; REF0034; REF0039; REF0041; REF0046; REF0049; REF0052,RCB0030,REF0012; REF0016; REF0019; REF0020; REF0029; REF0034; REF0039; REF0041; REF0046; REF0049; REF0052
R0394,6141,210 Ma,S,GG0038,Zhuguangshan,REF0039,REF0039,GG0038,Zhuguangshan,Guangdong,,Composite or parent geological unit,Related subunits are consolidated under the named Zhuguangshan parent unit so genetically and spatially related samples remain in one validation group.,Medium,222,REF0012; REF0016; REF0019; REF0020; REF0029; REF0034; REF0039; REF0041; REF0046; REF0049; REF0052,RCB0030,REF0012; REF0016; REF0019; REF0020; REF0029; REF0034; REF0039; REF0041; REF0046; REF0049; REF0052
R0395,6142,210 Ma,S,GG0038,Zhuguangshan,REF0039,REF0039,GG0038,Zhuguangshan,Guangdong,,Composite or parent geological unit,Related subunits are consolidated under the named Zhuguangshan parent unit so genetically and spatially related samples remain in one validation group.,Medium,222,REF0012; REF0016; REF0019; REF0020; REF0029; REF0034; REF0039; REF0041; REF0046; REF0049; REF0052,RCB0030,REF0012; REF0016; REF0019; REF0020; REF0029; REF0034; REF0039; REF0041; REF0046; REF0049; REF0052
R0396,6143,210 Ma,S,GG0038,Zhuguangshan,REF0039,REF0039,GG0038,Zhuguangshan,Guangdong,,Composite or parent geological unit,Related subunits are consolidated under the named Zhuguangshan parent unit so genetically and spatially related samples remain in one validation group.,Medium,222,REF0012; REF0016; REF0019; REF0020; REF0029; REF0034; REF0039; REF0041; REF0046; REF0049; REF0052,RCB0030,REF0012; REF0016; REF0019; REF0020; REF0029; REF0034; REF0039; REF0041; REF0046; REF0049; REF0052
R0397,6209,210 Ma,S,GG0038,Zhuguangshan,REF0039,REF0039,GG0038,Zhuguangshan,Guangdong,,Composite or parent geological unit,Related subunits are consolidated under the named Zhuguangshan parent unit so genetically and spatially related samples remain in one validation group.,Medium,222,REF0012; REF0016; REF0019; REF0020; REF0029; REF0034; REF0039; REF0041; REF0046; REF0049; REF0052,RCB0030,REF0012; REF0016; REF0019; REF0020; REF0029; REF0034; REF0039; REF0041; REF0046; REF0049; REF0052
R0398,JN-01,210 Ma,S,GG0038,Zhuguangshan,REF0039,REF0039,GG0038,Zhuguangshan,Guangdong,,Composite or parent geological unit,Related subunits are consolidated under the named Zhuguangshan parent unit so genetically and spatially related samples remain in one validation group.,Medium,222,REF0012; REF0016; REF0019; REF0020; REF0029; REF0034; REF0039; REF0041; REF0046; REF0049; REF0052,RCB0030,REF0012; REF0016; REF0019; REF0020; REF0029; REF0034; REF0039; REF0041; REF0046; REF0049; REF0052
R0399,695,210 Ma,S,GG0038,Zhuguangshan,REF0039,REF0039,GG0038,Zhuguangshan,Guangdong,,Composite or parent geological unit,Related subunits are consolidated under the named Zhuguangshan parent unit so genetically and spatially related samples remain in one validation group.,Medium,222,REF0012; REF0016; REF0019; REF0020; REF0029; REF0034; REF0039; REF0041; REF0046; REF0049; REF0052,RCB0030,REF0012; REF0016; REF0019; REF0020; REF0029; REF0034; REF0039; REF0041; REF0046; REF0049; REF0052
R0400,696,210 Ma,S,GG0038,Zhuguangshan,REF0039,REF0039,GG0038,Zhuguangshan,Guangdong,,Composite or parent geological unit,Related subunits are consolidated under the named Zhuguangshan parent unit so genetically and spatially related samples remain in one validation group.,Medium,222,REF0012; REF0016; REF0019; REF0020; REF0029; REF0034; REF0039; REF0041; REF0046; REF0049; REF0052,RCB0030,REF0012; REF0016; REF0019; REF0020; REF0029; REF0034; REF0039; REF0041; REF0046; REF0049; REF0052
R0401,8204,210 Ma,S,GG0038,Zhuguangshan,REF0039,REF0039,GG0038,Zhuguangshan,Guangdong,,Composite or parent geological unit,Related subunits are consolidated under the named Zhuguangshan parent unit so genetically and spatially related samples remain in one validation group.,Medium,222,REF0012; REF0016; REF0019; REF0020; REF0029; REF0034; REF0039; REF0041; REF0046; REF0049; REF0052,RCB0030,REF0012; REF0016; REF0019; REF0020; REF0029; REF0034; REF0039; REF0041; REF0046; REF0049; REF0052
R0402,8205,210 Ma,S,GG0038,Zhuguangshan,REF0039,REF0039,GG0038,Zhuguangshan,Guangdong,,Composite or parent geological unit,Related subunits are consolidated under the named Zhuguangshan parent unit so genetically and spatially related samples remain in one validation group.,Medium,222,REF0012; REF0016; REF0019; REF0020; REF0029; REF0034; REF0039; REF0041; REF0046; REF0049; REF0052,RCB0030,REF0012; REF0016; REF0019; REF0020; REF0029; REF0034; REF0039; REF0041; REF0046; REF0049; REF0052
R0403,8206,210 Ma,S,GG0038,Zhuguangshan,REF0039,REF0039,GG0038,Zhuguangshan,Guangdong,,Composite or parent geological unit,Related subunits are consolidated under the named Zhuguangshan parent unit so genetically and spatially related samples remain in one validation group.,Medium,222,REF0012; REF0016; REF0019; REF0020; REF0029; REF0034; REF0039; REF0041; REF0046; REF0049; REF0052,RCB0030,REF0012; REF0016; REF0019; REF0020; REF0029; REF0034; REF0039; REF0041; REF0046; REF0049; REF0052
R0404,111hs-01,210 Ma,S,GG0038,Zhuguangshan,REF0039,REF0039,GG0038,Zhuguangshan,Guangdong,,Composite or parent geological unit,Related subunits are consolidated under the named Zhuguangshan parent unit so genetically and spatially related samples remain in one validation group.,Medium,222,REF0012; REF0016; REF0019; REF0020; REF0029; REF0034; REF0039; REF0041; REF0046; REF0049; REF0052,RCB0030,REF0012; REF0016; REF0019; REF0020; REF0029; REF0034; REF0039; REF0041; REF0046; REF0049; REF0052
R0405,111hs-04,210 Ma,S,GG0038,Zhuguangshan,REF0039,REF0039,GG0038,Zhuguangshan,Guangdong,,Composite or parent geological unit,Related subunits are consolidated under the named Zhuguangshan parent unit so genetically and spatially related samples remain in one validation group.,Medium,222,REF0012; REF0016; REF0019; REF0020; REF0029; REF0034; REF0039; REF0041; REF0046; REF0049; REF0052,RCB0030,REF0012; REF0016; REF0019; REF0020; REF0029; REF0034; REF0039; REF0041; REF0046; REF0049; REF0052
R0406,111hs-05,210 Ma,S,GG0038,Zhuguangshan,REF0039,REF0039,GG0038,Zhuguangshan,Guangdong,,Composite or parent geological unit,Related subunits are consolidated under the named Zhuguangshan parent unit so genetically and spatially related samples remain in one validation group.,Medium,222,REF0012; REF0016; REF0019; REF0020; REF0029; REF0034; REF0039; REF0041; REF0046; REF0049; REF0052,RCB0030,REF0012; REF0016; REF0019; REF0020; REF0029; REF0034; REF0039; REF0041; REF0046; REF0049; REF0052
R0407,111hs-06,210 Ma,S,GG0038,Zhuguangshan,REF0039,REF0039,GG0038,Zhuguangshan,Guangdong,,Composite or parent geological unit,Related subunits are consolidated under the named Zhuguangshan parent unit so genetically and spatially related samples remain in one validation group.,Medium,222,REF0012; REF0016; REF0019; REF0020; REF0029; REF0034; REF0039; REF0041; REF0046; REF0049; REF0052,RCB0030,REF0012; REF0016; REF0019; REF0020; REF0029; REF0034; REF0039; REF0041; REF0046; REF0049; REF0052
R0408,45292,210 Ma,S,GG0038,Zhuguangshan,REF0039,REF0039,GG0038,Zhuguangshan,Guangdong,,Composite or parent geological unit,Related subunits are consolidated under the named Zhuguangshan parent unit so genetically and spatially related samples remain in one validation group.,Medium,222,REF0012; REF0016; REF0019; REF0020; REF0029; REF0034; REF0039; REF0041; REF0046; REF0049; REF0052,RCB0030,REF0012; REF0016; REF0019; REF0020; REF0029; REF0034; REF0039; REF0041; REF0046; REF0049; REF0052
R0409,11by-1,210 Ma,S,GG0038,Zhuguangshan,REF0039,REF0039,GG0038,Zhuguangshan,Guangdong,,Composite or parent geological unit,Related subunits are consolidated under the named Zhuguangshan parent unit so genetically and spatially related samples remain in one validation group.,Medium,222,REF0012; REF0016; REF0019; REF0020; REF0029; REF0034; REF0039; REF0041; REF0046; REF0049; REF0052,RCB0030,REF0012; REF0016; REF0019; REF0020; REF0029; REF0034; REF0039; REF0041; REF0046; REF0049; REF0052
R0410,11by-2,210 Ma,S,GG0038,Zhuguangshan,REF0039,REF0039,GG0038,Zhuguangshan,Guangdong,,Composite or parent geological unit,Related subunits are consolidated under the named Zhuguangshan parent unit so genetically and spatially related samples remain in one validation group.,Medium,222,REF0012; REF0016; REF0019; REF0020; REF0029; REF0034; REF0039; REF0041; REF0046; REF0049; REF0052,RCB0030,REF0012; REF0016; REF0019; REF0020; REF0029; REF0034; REF0039; REF0041; REF0046; REF0049; REF0052
R0411,11by-4,210 Ma,S,GG0038,Zhuguangshan,REF0039,REF0039,GG0038,Zhuguangshan,Guangdong,,Composite or parent geological unit,Related subunits are consolidated under the named Zhuguangshan parent unit so genetically and spatially related samples remain in one validation group.,Medium,222,REF0012; REF0016; REF0019; REF0020; REF0029; REF0034; REF0039; REF0041; REF0046; REF0049; REF0052,RCB0030,REF0012; REF0016; REF0019; REF0020; REF0029; REF0034; REF0039; REF0041; REF0046; REF0049; REF0052
R0412,11by-6,210 Ma,S,GG0038,Zhuguangshan,REF0039,REF0039,GG0038,Zhuguangshan,Guangdong,,Composite or parent geological unit,Related subunits are consolidated under the named Zhuguangshan parent unit so genetically and spatially related samples remain in one validation group.,Medium,222,REF0012; REF0016; REF0019; REF0020; REF0029; REF0034; REF0039; REF0041; REF0046; REF0049; REF0052,RCB0030,REF0012; REF0016; REF0019; REF0020; REF0029; REF0034; REF0039; REF0041; REF0046; REF0049; REF0052
R0413,644,210 Ma,S,GG0038,Zhuguangshan,REF0039,REF0039,GG0038,Zhuguangshan,Guangdong,,Composite or parent geological unit,Related subunits are consolidated under the named Zhuguangshan parent unit so genetically and spatially related samples remain in one validation group.,Medium,222,REF0012; REF0016; REF0019; REF0020; REF0029; REF0034; REF0039; REF0041; REF0046; REF0049; REF0052,RCB0030,REF0012; REF0016; REF0019; REF0020; REF0029; REF0034; REF0039; REF0041; REF0046; REF0049; REF0052
R0414,645,210 Ma,S,GG0038,Zhuguangshan,REF0039,REF0039,GG0038,Zhuguangshan,Guangdong,,Composite or parent geological unit,Related subunits are consolidated under the named Zhuguangshan parent unit so genetically and spatially related samples remain in one validation group.,Medium,222,REF0012; REF0016; REF0019; REF0020; REF0029; REF0034; REF0039; REF0041; REF0046; REF0049; REF0052,RCB0030,REF0012; REF0016; REF0019; REF0020; REF0029; REF0034; REF0039; REF0041; REF0046; REF0049; REF0052
R0415,646,210 Ma,S,GG0038,Zhuguangshan,REF0039,REF0039,GG0038,Zhuguangshan,Guangdong,,Composite or parent geological unit,Related subunits are consolidated under the named Zhuguangshan parent unit so genetically and spatially related samples remain in one validation group.,Medium,222,REF0012; REF0016; REF0019; REF0020; REF0029; REF0034; REF0039; REF0041; REF0046; REF0049; REF0052,RCB0030,REF0012; REF0016; REF0019; REF0020; REF0029; REF0034; REF0039; REF0041; REF0046; REF0049; REF0052
R0416,647,210 Ma,S,GG0038,Zhuguangshan,REF0039,REF0039,GG0038,Zhuguangshan,Guangdong,,Composite or parent geological unit,Related subunits are consolidated under the named Zhuguangshan parent unit so genetically and spatially related samples remain in one validation group.,Medium,222,REF0012; REF0016; REF0019; REF0020; REF0029; REF0034; REF0039; REF0041; REF0046; REF0049; REF0052,RCB0030,REF0012; REF0016; REF0019; REF0020; REF0029; REF0034; REF0039; REF0041; REF0046; REF0049; REF0052
R0417,6207,210 Ma,S,GG0038,Zhuguangshan,REF0039,REF0039,GG0038,Zhuguangshan,Guangdong,,Composite or parent geological unit,Related subunits are consolidated under the named Zhuguangshan parent unit so genetically and spatially related samples remain in one validation group.,Medium,222,REF0012; REF0016; REF0019; REF0020; REF0029; REF0034; REF0039; REF0041; REF0046; REF0049; REF0052,RCB0030,REF0012; REF0016; REF0019; REF0020; REF0029; REF0034; REF0039; REF0041; REF0046; REF0049; REF0052
R0418,6208,210 Ma,S,GG0038,Zhuguangshan,REF0039,REF0039,GG0038,Zhuguangshan,Guangdong,,Composite or parent geological unit,Related subunits are consolidated under the named Zhuguangshan parent unit so genetically and spatially related samples remain in one validation group.,Medium,222,REF0012; REF0016; REF0019; REF0020; REF0029; REF0034; REF0039; REF0041; REF0046; REF0049; REF0052,RCB0030,REF0012; REF0016; REF0019; REF0020; REF0029; REF0034; REF0039; REF0041; REF0046; REF0049; REF0052
R0419,14ZD-01,210 Ma,S,GG0038,Zhuguangshan,REF0039,REF0039,GG0038,Zhuguangshan,Guangdong,,Composite or parent geological unit,Related subunits are consolidated under the named Zhuguangshan parent unit so genetically and spatially related samples remain in one validation group.,Medium,222,REF0012; REF0016; REF0019; REF0020; REF0029; REF0034; REF0039; REF0041; REF0046; REF0049; REF0052,RCB0030,REF0012; REF0016; REF0019; REF0020; REF0029; REF0034; REF0039; REF0041; REF0046; REF0049; REF0052
R0420,ZD-02,210 Ma,S,GG0038,Zhuguangshan,REF0039,REF0039,GG0038,Zhuguangshan,Guangdong,,Composite or parent geological unit,Related subunits are consolidated under the named Zhuguangshan parent unit so genetically and spatially related samples remain in one validation group.,Medium,222,REF0012; REF0016; REF0019; REF0020; REF0029; REF0034; REF0039; REF0041; REF0046; REF0049; REF0052,RCB0030,REF0012; REF0016; REF0019; REF0020; REF0029; REF0034; REF0039; REF0041; REF0046; REF0049; REF0052
R0421,Z0-03,210 Ma,S,GG0038,Zhuguangshan,REF0039,REF0039,GG0038,Zhuguangshan,Guangdong,,Composite or parent geological unit,Related subunits are consolidated under the named Zhuguangshan parent unit so genetically and spatially related samples remain in one validation group.,Medium,222,REF0012; REF0016; REF0019; REF0020; REF0029; REF0034; REF0039; REF0041; REF0046; REF0049; REF0052,RCB0030,REF0012; REF0016; REF0019; REF0020; REF0029; REF0034; REF0039; REF0041; REF0046; REF0049; REF0052
R0422,1D-01,210 Ma,S,GG0038,Zhuguangshan,REF0039,REF0039,GG0038,Zhuguangshan,Guangdong,,Composite or parent geological unit,Related subunits are consolidated under the named Zhuguangshan parent unit so genetically and spatially related samples remain in one validation group.,Medium,222,REF0012; REF0016; REF0019; REF0020; REF0029; REF0034; REF0039; REF0041; REF0046; REF0049; REF0052,RCB0030,REF0012; REF0016; REF0019; REF0020; REF0029; REF0034; REF0039; REF0041; REF0046; REF0049; REF0052
R0423,1D-02,210 Ma,S,GG0038,Zhuguangshan,REF0039,REF0039,GG0038,Zhuguangshan,Guangdong,,Composite or parent geological unit,Related subunits are consolidated under the named Zhuguangshan parent unit so genetically and spatially related samples remain in one validation group.,Medium,222,REF0012; REF0016; REF0019; REF0020; REF0029; REF0034; REF0039; REF0041; REF0046; REF0049; REF0052,RCB0030,REF0012; REF0016; REF0019; REF0020; REF0029; REF0034; REF0039; REF0041; REF0046; REF0049; REF0052
R0424,1D-03,210 Ma,S,GG0038,Zhuguangshan,REF0039,REF0039,GG0038,Zhuguangshan,Guangdong,,Composite or parent geological unit,Related subunits are consolidated under the named Zhuguangshan parent unit so genetically and spatially related samples remain in one validation group.,Medium,222,REF0012; REF0016; REF0019; REF0020; REF0029; REF0034; REF0039; REF0041; REF0046; REF0049; REF0052,RCB0030,REF0012; REF0016; REF0019; REF0020; REF0029; REF0034; REF0039; REF0041; REF0046; REF0049; REF0052
R0425,1D-04,210 Ma,S,GG0038,Zhuguangshan,REF0039,REF0039,GG0038,Zhuguangshan,Guangdong,,Composite or parent geological unit,Related subunits are consolidated under the named Zhuguangshan parent unit so genetically and spatially related samples remain in one validation group.,Medium,222,REF0012; REF0016; REF0019; REF0020; REF0029; REF0034; REF0039; REF0041; REF0046; REF0049; REF0052,RCB0030,REF0012; REF0016; REF0019; REF0020; REF0029; REF0034; REF0039; REF0041; REF0046; REF0049; REF0052
R0426,1D-05,210 Ma,S,GG0038,Zhuguangshan,REF0039,REF0039,GG0038,Zhuguangshan,Guangdong,,Composite or parent geological unit,Related subunits are consolidated under the named Zhuguangshan parent unit so genetically and spatially related samples remain in one validation group.,Medium,222,REF0012; REF0016; REF0019; REF0020; REF0029; REF0034; REF0039; REF0041; REF0046; REF0049; REF0052,RCB0030,REF0012; REF0016; REF0019; REF0020; REF0029; REF0034; REF0039; REF0041; REF0046; REF0049; REF0052
R0427,1D-06,210 Ma,S,GG0038,Zhuguangshan,REF0039,REF0039,GG0038,Zhuguangshan,Guangdong,,Composite or parent geological unit,Related subunits are consolidated under the named Zhuguangshan parent unit so genetically and spatially related samples remain in one validation group.,Medium,222,REF0012; REF0016; REF0019; REF0020; REF0029; REF0034; REF0039; REF0041; REF0046; REF0049; REF0052,RCB0030,REF0012; REF0016; REF0019; REF0020; REF0029; REF0034; REF0039; REF0041; REF0046; REF0049; REF0052
R0428,1D-07,210 Ma,S,GG0038,Zhuguangshan,REF0039,REF0039,GG0038,Zhuguangshan,Guangdong,,Composite or parent geological unit,Related subunits are consolidated under the named Zhuguangshan parent unit so genetically and spatially related samples remain in one validation group.,Medium,222,REF0012; REF0016; REF0019; REF0020; REF0029; REF0034; REF0039; REF0041; REF0046; REF0049; REF0052,RCB0030,REF0012; REF0016; REF0019; REF0020; REF0029; REF0034; REF0039; REF0041; REF0046; REF0049; REF0052
R0429,RK401-1,440 Ma,S,GG0056,Miaoyun pluton,REF0040,REF0040,GG0056,Miaoyun pluton,Jiangxi,,Pluton,The linked study explicitly identifies the Miaoyun pluton; records are grouped at that named geological-unit level.,High,8,REF0040,RCB0041,REF0040
R0430,RK401-2,440 Ma,S,GG0056,Miaoyun pluton,REF0040,REF0040,GG0056,Miaoyun pluton,Jiangxi,,Pluton,The linked study explicitly identifies the Miaoyun pluton; records are grouped at that named geological-unit level.,High,8,REF0040,RCB0041,REF0040
R0431,RK401-3,440 Ma,S,GG0056,Miaoyun pluton,REF0040,REF0040,GG0056,Miaoyun pluton,Jiangxi,,Pluton,The linked study explicitly identifies the Miaoyun pluton; records are grouped at that named geological-unit level.,High,8,REF0040,RCB0041,REF0040
R0432,RK401-4,440 Ma,S,GG0056,Miaoyun pluton,REF0040,REF0040,GG0056,Miaoyun pluton,Jiangxi,,Pluton,The linked study explicitly identifies the Miaoyun pluton; records are grouped at that named geological-unit level.,High,8,REF0040,RCB0041,REF0040
R0433,RK401-5,440 Ma,S,GG0056,Miaoyun pluton,REF0040,REF0040,GG0056,Miaoyun pluton,Jiangxi,,Pluton,The linked study explicitly identifies the Miaoyun pluton; records are grouped at that named geological-unit level.,High,8,REF0040,RCB0041,REF0040
R0434,RK401-6,440 Ma,S,GG0056,Miaoyun pluton,REF0040,REF0040,GG0056,Miaoyun pluton,Jiangxi,,Pluton,The linked study explicitly identifies the Miaoyun pluton; records are grouped at that named geological-unit level.,High,8,REF0040,RCB0041,REF0040
R0435,RK401-7,440 Ma,S,GG0056,Miaoyun pluton,REF0040,REF0040,GG0056,Miaoyun pluton,Jiangxi,,Pluton,The linked study explicitly identifies the Miaoyun pluton; records are grouped at that named geological-unit level.,High,8,REF0040,RCB0041,REF0040
R0436,RK401-8,440 Ma,S,GG0056,Miaoyun pluton,REF0040,REF0040,GG0056,Miaoyun pluton,Jiangxi,,Pluton,The linked study explicitly identifies the Miaoyun pluton; records are grouped at that named geological-unit level.,High,8,REF0040,RCB0041,REF0040
R0437,C70-2,240 Ma,S,GG0038,Zhuguangshan,REF0041,REF0041,GG0038,Zhuguangshan,Guangdong,,Composite or parent geological unit,Related subunits are consolidated under the named Zhuguangshan parent unit so genetically and spatially related samples remain in one validation group.,Medium,222,REF0012; REF0016; REF0019; REF0020; REF0029; REF0034; REF0039; REF0041; REF0046; REF0049; REF0052,RCB0030,REF0012; REF0016; REF0019; REF0020; REF0029; REF0034; REF0039; REF0041; REF0046; REF0049; REF0052
R0438,C77-1,240 Ma,S,GG0038,Zhuguangshan,REF0041,REF0041,GG0038,Zhuguangshan,Guangdong,,Composite or parent geological unit,Related subunits are consolidated under the named Zhuguangshan parent unit so genetically and spatially related samples remain in one validation group.,Medium,222,REF0012; REF0016; REF0019; REF0020; REF0029; REF0034; REF0039; REF0041; REF0046; REF0049; REF0052,RCB0030,REF0012; REF0016; REF0019; REF0020; REF0029; REF0034; REF0039; REF0041; REF0046; REF0049; REF0052
R0439,C79,240 Ma,S,GG0038,Zhuguangshan,REF0041,REF0041,GG0038,Zhuguangshan,Guangdong,,Composite or parent geological unit,Related subunits are consolidated under the named Zhuguangshan parent unit so genetically and spatially related samples remain in one validation group.,Medium,222,REF0012; REF0016; REF0019; REF0020; REF0029; REF0034; REF0039; REF0041; REF0046; REF0049; REF0052,RCB0030,REF0012; REF0016; REF0019; REF0020; REF0029; REF0034; REF0039; REF0041; REF0046; REF0049; REF0052
R0440,C93-2,240 Ma,S,GG0038,Zhuguangshan,REF0041,REF0041,GG0038,Zhuguangshan,Guangdong,,Composite or parent geological unit,Related subunits are consolidated under the named Zhuguangshan parent unit so genetically and spatially related samples remain in one validation group.,Medium,222,REF0012; REF0016; REF0019; REF0020; REF0029; REF0034; REF0039; REF0041; REF0046; REF0049; REF0052,RCB0030,REF0012; REF0016; REF0019; REF0020; REF0029; REF0034; REF0039; REF0041; REF0046; REF0049; REF0052
R0441,C63,240 Ma,S,GG0038,Zhuguangshan,REF0041,REF0041,GG0038,Zhuguangshan,Guangdong,,Composite or parent geological unit,Related subunits are consolidated under the named Zhuguangshan parent unit so genetically and spatially related samples remain in one validation group.,Medium,222,REF0012; REF0016; REF0019; REF0020; REF0029; REF0034; REF0039; REF0041; REF0046; REF0049; REF0052,RCB0030,REF0012; REF0016; REF0019; REF0020; REF0029; REF0034; REF0039; REF0041; REF0046; REF0049; REF0052
R0442,C71,240 Ma,S,GG0038,Zhuguangshan,REF0041,REF0041,GG0038,Zhuguangshan,Guangdong,,Composite or parent geological unit,Related subunits are consolidated under the named Zhuguangshan parent unit so genetically and spatially related samples remain in one validation group.,Medium,222,REF0012; REF0016; REF0019; REF0020; REF0029; REF0034; REF0039; REF0041; REF0046; REF0049; REF0052,RCB0030,REF0012; REF0016; REF0019; REF0020; REF0029; REF0034; REF0039; REF0041; REF0046; REF0049; REF0052
R0443,C66,240 Ma,S,GG0038,Zhuguangshan,REF0041,REF0041,GG0038,Zhuguangshan,Guangdong,,Composite or parent geological unit,Related subunits are consolidated under the named Zhuguangshan parent unit so genetically and spatially related samples remain in one validation group.,Medium,222,REF0012; REF0016; REF0019; REF0020; REF0029; REF0034; REF0039; REF0041; REF0046; REF0049; REF0052,RCB0030,REF0012; REF0016; REF0019; REF0020; REF0029; REF0034; REF0039; REF0041; REF0046; REF0049; REF0052
R0444,C91,240 Ma,S,GG0038,Zhuguangshan,REF0041,REF0041,GG0038,Zhuguangshan,Guangdong,,Composite or parent geological unit,Related subunits are consolidated under the named Zhuguangshan parent unit so genetically and spatially related samples remain in one validation group.,Medium,222,REF0012; REF0016; REF0019; REF0020; REF0029; REF0034; REF0039; REF0041; REF0046; REF0049; REF0052,RCB0030,REF0012; REF0016; REF0019; REF0020; REF0029; REF0034; REF0039; REF0041; REF0046; REF0049; REF0052
R0445,C65-2,240 Ma,S,GG0038,Zhuguangshan,REF0041,REF0041,GG0038,Zhuguangshan,Guangdong,,Composite or parent geological unit,Related subunits are consolidated under the named Zhuguangshan parent unit so genetically and spatially related samples remain in one validation group.,Medium,222,REF0012; REF0016; REF0019; REF0020; REF0029; REF0034; REF0039; REF0041; REF0046; REF0049; REF0052,RCB0030,REF0012; REF0016; REF0019; REF0020; REF0029; REF0034; REF0039; REF0041; REF0046; REF0049; REF0052
R0446,C85,240 Ma,S,GG0038,Zhuguangshan,REF0041,REF0041,GG0038,Zhuguangshan,Guangdong,,Composite or parent geological unit,Related subunits are consolidated under the named Zhuguangshan parent unit so genetically and spatially related samples remain in one validation group.,Medium,222,REF0012; REF0016; REF0019; REF0020; REF0029; REF0034; REF0039; REF0041; REF0046; REF0049; REF0052,RCB0030,REF0012; REF0016; REF0019; REF0020; REF0029; REF0034; REF0039; REF0041; REF0046; REF0049; REF0052
R0447,C90,240 Ma,S,GG0038,Zhuguangshan,REF0041,REF0041,GG0038,Zhuguangshan,Guangdong,,Composite or parent geological unit,Related subunits are consolidated under the named Zhuguangshan parent unit so genetically and spatially related samples remain in one validation group.,Medium,222,REF0012; REF0016; REF0019; REF0020; REF0029; REF0034; REF0039; REF0041; REF0046; REF0049; REF0052,RCB0030,REF0012; REF0016; REF0019; REF0020; REF0029; REF0034; REF0039; REF0041; REF0046; REF0049; REF0052
R0448,C62-1,240 Ma,S,GG0038,Zhuguangshan,REF0041,REF0041,GG0038,Zhuguangshan,Guangdong,,Composite or parent geological unit,Related subunits are consolidated under the named Zhuguangshan parent unit so genetically and spatially related samples remain in one validation group.,Medium,222,REF0012; REF0016; REF0019; REF0020; REF0029; REF0034; REF0039; REF0041; REF0046; REF0049; REF0052,RCB0030,REF0012; REF0016; REF0019; REF0020; REF0029; REF0034; REF0039; REF0041; REF0046; REF0049; REF0052
R0449,C67,240 Ma,S,GG0038,Zhuguangshan,REF0041,REF0041,GG0038,Zhuguangshan,Guangdong,,Composite or parent geological unit,Related subunits are consolidated under the named Zhuguangshan parent unit so genetically and spatially related samples remain in one validation group.,Medium,222,REF0012; REF0016; REF0019; REF0020; REF0029; REF0034; REF0039; REF0041; REF0046; REF0049; REF0052,RCB0030,REF0012; REF0016; REF0019; REF0020; REF0029; REF0034; REF0039; REF0041; REF0046; REF0049; REF0052
R0450,C75,240 Ma,S,GG0038,Zhuguangshan,REF0041,REF0041,GG0038,Zhuguangshan,Guangdong,,Composite or parent geological unit,Related subunits are consolidated under the named Zhuguangshan parent unit so genetically and spatially related samples remain in one validation group.,Medium,222,REF0012; REF0016; REF0019; REF0020; REF0029; REF0034; REF0039; REF0041; REF0046; REF0049; REF0052,RCB0030,REF0012; REF0016; REF0019; REF0020; REF0029; REF0034; REF0039; REF0041; REF0046; REF0049; REF0052
R0451,C76,240 Ma,S,GG0038,Zhuguangshan,REF0041,REF0041,GG0038,Zhuguangshan,Guangdong,,Composite or parent geological unit,Related subunits are consolidated under the named Zhuguangshan parent unit so genetically and spatially related samples remain in one validation group.,Medium,222,REF0012; REF0016; REF0019; REF0020; REF0029; REF0034; REF0039; REF0041; REF0046; REF0049; REF0052,RCB0030,REF0012; REF0016; REF0019; REF0020; REF0029; REF0034; REF0039; REF0041; REF0046; REF0049; REF0052
